id,title,slug,category,short_description,image,prep_time,cook_time,servings,ingredients,instructions,health_note,benefits,source,tags
43,Carrot-Beans Sambar,carrot-beans-sambar,Lunch,"Healthy sambar with carrot, beans, and toor dal.",,10 min,20 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,1/2 cup toor dal||1 cup carrots||1 cup beans||1 tomato||1 onion||2-3 green chilies||1 tsp sambar powder||1/2 tsp turmeric||Tamarind water||Curry leaves||1/2 tsp mustard||1/2 tsp cumin||1 tsp oil||Salt,"1. Cook carrots and beans with turmeric.||2. Add tomato, chilies, salt.||3. Add dal; mix well.||4. Add tamarind water + sambar powder; simmer 5-7 min.||5. Temper mustard, cumin & curry leaves in oil and mix.",Uses only 1 tsp oil; high vegetables for fiber.,Aids gut health and digestion; rich in vitamins.,https://youtu.be/B3kIyaWbjII,"sambar,lunch,vegetable,dal"
44,Spinach Dal,spinach-dal,Lunch,"Iron-rich dal with spinach, perfect for heart health.",,10 min,20 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,3/4 cup toor dal or moong dal||2-3 cups chopped spinach||1 tomato (chopped)||1 onion (chopped)||2 green chilies||1/2 tsp turmeric||1/2 tsp cumin seeds||1 tsp oil||Curry leaves||Salt to taste,"1. Pressure cook dal with turmeric.||2. Heat oil, add cumin, onion, chilies; sauté.||3. Add tomatoes; cook till soft.||4. Add spinach; cook 2-3 min.||5. Add cooked dal + salt; simmer 5-7 min.",Very low oil. Moong dal is lighter for digestion.,"Rich in iron, folate, and plant protein. Heart-healthy comfort meal.",https://youtu.be/01YAH1ufPM0,"spinach,dal,lunch,iron"
45,Beans Sambar,beans-sambar,Lunch,Simple sambar with beans and toor dal.,,10 min,20-25 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,1/2 cup toor dal||2 cups chopped beans||1 tomato||Small onion||Turmeric||Sambar powder||Tamarind water||Curry leaves||Mustard seeds||Cumin||1 tsp oil||Salt,"1. Cook beans with turmeric till soft.||2. Add tomatoes, shallots, chilies.||3. Pour cooked dal; mix.||4. Add tamarind water + sambar powder; simmer 6-8 min.||5. Temper mustard, cumin, curry leaves in oil; add to sambar.",Good veggie-protein balance. No deep frying.,Beans provide fiber and B-vitamins. Dal supports muscle and heart health.,https://youtu.be/rpF41esC1VU,"beans,sambar,lunch,protein"
46,Rasam,rasam,Lunch,Digestive South Indian soup with pepper and tamarind.,,10 min,12-15 min,Father – 1 cup; Mother – 1 cup; Daughter – 1 cup; Son – 1.5 cups,2 tomatoes (chopped)||4-5 garlic cloves||1 tsp black pepper||1 tsp cumin||1/2 tsp mustard seeds||1/2 tsp turmeric||Tamarind water||2-3 green chilies||Curry leaves||Coriander leaves||1 tsp oil||Salt,"1. Crush pepper and cumin.||2. Heat oil; add mustard, splutter.||3. Add garlic, chilies, curry leaves; sauté.||4. Add tomatoes; cook till soft.||5. Add tamarind water, turmeric, crushed spices; simmer 5-7 min.||6. Finish with coriander leaves.",Low oil; avoid extra chilies for older members.,"Excellent for digestion, cold relief, and gut cleansing.",https://youtu.be/5aBMuTpL740,"rasam,lunch,soup,digestive"
47,Spinach Sambar,spinach-sambar,Lunch,Nutrient-packed sambar with spinach and toor dal.,,10 min,20-25 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,1/2 cup toor dal||2 cups chopped spinach||1 tomato||1 onion||1-2 green chilies||1 tsp sambar powder||1/2 tsp turmeric||Tamarind water||Curry leaves||1 tsp oil||Mustard seeds||Cumin||Salt,"1. Cook dal with turmeric; keep aside.||2. Boil spinach, tomato, chilies.||3. Add dal, salt, sambar powder.||4. Add tamarind water; simmer 5 min.||5. Temper mustard, cumin, curry leaves in oil; add.","Spinach softens quickly; high fiber, low fat.","Iron, folate, and vitamin K rich. Supports immunity and bone health.",https://youtu.be/qvcFU5Qy8V8,"spinach,sambar,lunch,iron"
48,Carrot Thoran,carrot-thoran,Lunch,Simple stir-fried carrots with coconut.,,10 min,10-12 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,2-3 large carrots (grated)||1/2 cup grated coconut||2-3 green chilies||1/2 tsp turmeric||1 tsp mustard seeds||Curry leaves||1 tsp oil||Salt,"1. Heat oil; splutter mustard and curry leaves.||2. Add carrot, turmeric, salt; sauté.||3. Add coconut, chilies; mix gently.||4. Cook covered 5 min till soft.",Nearly oil-free; very light.,Rich in fiber and antioxidants. Promotes eye health.,https://youtu.be/qZJGJbcT6iE,"carrot,thoran,lunch,vegetable"
49,Beans Thoran,beans-thoran,Lunch,Stir-fried beans with coconut and spices.,,10 min,10-12 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,2 cups chopped beans||1/2 cup grated coconut||2-3 green chilies||1/2 tsp turmeric||1 tsp mustard seeds||Curry leaves||1 tsp oil||Salt,"1. Heat oil; splutter mustard and curry leaves.||2. Add beans, turmeric, salt; sauté.||3. Cook covered 5 min (slightly crunchy).||4. Add coconut, chilies; mix and cook 2-3 min.",Very low oil; keeps nutrients intact.,"Beans offer folate, fiber, and B-vitamins. Supports digestion.",https://youtu.be/poR3hRZRLdU,"beans,thoran,lunch,vegetable"
50,Spinach Thoran,spinach-thoran,Lunch,Quick stir-fried spinach with coconut.,,10 min,7-10 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,2-3 cups chopped spinach||1/2 cup grated coconut||2 green chilies||1/2 tsp turmeric||1 tsp mustard seeds||Curry leaves||1 tsp oil||Salt,"1. Heat oil; splutter mustard and curry leaves.||2. Add spinach, turmeric, salt; cook 2-3 min.||3. Add coconut, chilies; mix gently.||4. Cook 1-2 min more.",No frying; spinach cooks in its own moisture.,"Excellent source of iron, folate, vitamin K. Good for energy.",https://youtu.be/r_6o8tl-cA4,"spinach,thoran,lunch,vegetable"
51,Cabbage Thoran,cabbage-thoran,Lunch,Stir-fried cabbage with coconut and spices.,,10 min,10-12 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,2 cups shredded cabbage||1/2 cup grated coconut||2 green chilies||1/2 tsp turmeric||1 tsp mustard seeds||Curry leaves||1 tsp oil||Salt,"1. Heat oil; add mustard and curry leaves.||2. Add cabbage, turmeric, salt; sauté.||3. Cover and cook 5-7 min till soft.||4. Add coconut, chilies; cook 1-2 min.","Minimal oil, high fiber.",Supports digestion and gut health. Rich in vitamin C.,https://youtu.be/eL_-pWt6qqA,"cabbage,thoran,lunch,vegetable"
52,Beetroot Thoran,beetroot-thoran,Lunch,Stir-fried beetroot with coconut and spices.,,15 min,15 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,2 medium beetroots (grated)||1/2 cup grated coconut||2-3 green chilies||1/2 tsp turmeric||1 tsp mustard seeds||Curry leaves||1 tsp oil||Salt,"1. Heat oil; splutter mustard and curry leaves.||2. Add beetroot, turmeric, salt; sauté.||3. Sprinkle water; cover and cook 8-10 min.||4. Add coconut, chilies; cook 2-3 min.",Beetroot needs more cooking; no frying.,"Beetroot boosts blood flow, stamina, and heart health.",https://youtu.be/wPupVwzkzPU,"beetroot,thoran,lunch,vegetable"
53,Carrot-Beans Thoran,carrot-beans-thoran,Lunch,Stir-fried mix of carrot and beans with coconut.,,10 min,10-12 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,1 cup grated carrot||1 cup chopped beans||1/2 cup grated coconut||2 green chilies||1/2 tsp turmeric||1 tsp mustard seeds||Curry leaves||1 tsp oil||Salt,"1. Heat oil; add mustard and curry leaves.||2. Add carrot, beans, turmeric, salt; sauté lightly.||3. Cover and cook 5-6 min.||4. Add coconut, chilies; mix and cook 2-3 min.",Balanced veggies; low oil.,Combines vitamin A and folate. Great for kids and adults.,https://youtu.be/UYCJjZhNs2Y,"carrot,beans,thoran,lunch,vegetable"
54,Carrot-Beet Poriyal,carrot-beet-poriyal,Lunch,Colorful stir-fry of carrot and beetroot.,,15 min,12-15 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,1 cup grated carrot||1 cup grated beetroot||1/2 cup grated coconut||2-3 green chilies||1/2 tsp turmeric||1 tsp mustard seeds||Curry leaves||1 tsp oil||Salt,"1. Heat oil; splutter mustard and curry leaves.||2. Add carrot, beetroot, turmeric, salt; sauté.||3. Sprinkle water; cover and cook 7-8 min.||4. Add coconut, chilies; cook 2-3 min.",No deep sautéing; vegetables retain nutrients.,Excellent blood-building combo. Supports digestion.,https://youtube.com/shorts/qII1UxNtouY,"carrot,beet,poriyal,lunch,vegetable"
55,Sardine Fry (Oil-Free),sardine-fry-oil-free,Lunch,"Oil-free sardine fry, perfect for heart health.",,5 min,10 min,Father – 2 sardines; Mother – 2 sardines; Daughter – 2 sardines; Son – 3 sardines,7-8 sardines (cleaned)||1 tsp turmeric||1-2 tsp red chili powder||Salt to taste||Banana leaves (optional),"1. Clean sardines and pat dry.||2. Mix turmeric, chili powder, salt into a paste.||3. Rub masala over fish; let sit 5 min.||4. Wrap in banana leaf or place on non-stick pan.||5. Cook 5-6 min each side till crisp.",Fully oil-free; heart-friendly.,"Rich in omega-3, high protein, easy to digest.",https://youtu.be/q0xWGRfIBtU?si=AuQEl8h2V1xdq0yH,"sardine,fry,lunch,seafood"
56,Mackerel Fry (Low-Oil),mackerel-fry-low-oil,Lunch,"Low-oil mackerel fry, ideal for heart health.",,5 min,15 min,Father – 2 pieces; Mother – 2 pieces; Daughter – 2 pieces; Son – 3 pieces,6-8 mackerel pieces||1 tsp turmeric||1-2 tsp red chili powder||Salt to taste||1-2 tsp oil,"1. Clean mackerel and pat dry.||2. Marinate with turmeric, chili powder, salt.||3. Heat minimal oil in pan.||4. Shallow-fry on medium flame till crisp (6-7 min each side).",Minimal oil; ideal for diabetic/heart patients.,"High-quality protein, omega-3, beneficial fats.",https://youtu.be/to-Tiwl34RE?si=ullthocH-MASR9AS,"mackerel,fry,lunch,seafood"
57,Grilled Chicken (Low-Fat),grilled-chicken-low-fat,Lunch,Lean grilled chicken with minimal oil.,,10 min,15-20 min,Father – 100g; Mother – 125g; Daughter – 125g; Son – 150g,400-500g chicken pieces||1 tbsp lemon juice||1 tsp ginger-garlic paste||1 tsp black pepper||1/2 tsp turmeric||Salt to taste||1-2 tsp oil (brushing),"1. Clean chicken, make small cuts.||2. Mix lemon juice, ginger-garlic, pepper, turmeric, salt; coat chicken.||3. Rest 10 min.||4. Heat grill pan or oven; brush lightly with oil.||5. Grill till cooked and charred (15-20 min).",Minimal oil; avoid skin for less fat.,"Lean protein supports muscle, energy, immunity.",https://youtu.be/i9bbiKiPGzk?si=EAXg3gpOLeDtCsKo,"chicken,grilled,lunch,protein"
58,Fish Biriyani,fish-biriyani,Special,Kerala-style fish biriyani with aromatic spices and basmati rice.,,15 min,30 min,Father – 1 cup rice + 100g fish; Mother – 1 cup rice + 100g fish; Daughter – 1 cup rice + 100g fish; Son – 1.5 cups rice + 150g fish,"400g fish pieces||2 cups basmati rice||Fried onions, tomatoes, spices||Whole spices: cardamom, cloves, cinnamon||1 tbsp oil||Salt",1. Marinate fish with turmeric & salt; shallow fry.||2. Cook rice with whole spices; keep aside.||3. Prepare masala with onions and tomatoes.||4. Layer rice and fish masala; steam covered 15 min.||5. Serve hot.,Less oil and chili for father.,Rich in omega-3s supporting heart health. Balanced carbs and protein for sustained energy.,https://youtu.be/AgqZ7Mk6xeQ,"fish,biriyani,kerala,seafood,dinner"
59,Healthy Shawarma Wrap,healthy-shawarma-wrap,Special,Whole wheat wraps with grilled chicken and fresh vegetables.,,10 min,10 min,Father – 1 wrap (75g chicken); Mother – 1 wrap (75g chicken); Daughter – 1 wrap (75g chicken); Son – 1.5 wraps (100g chicken),"Whole wheat wraps||300g grilled chicken strips||Sliced cucumber, tomato, onion||Low-fat yogurt sauce||Lettuce leaves",1. Warm wraps.||2. Spread yogurt sauce; add chicken and veggies.||3. Roll tightly; slice if desired.||4. Serve fresh.,Use lean chicken and low-fat yogurt for father.,Lean protein with fiber-rich vegetables promotes satiety and weight management. Low-fat yogurt provides probiotics for gut health.,https://youtu.be/GeDPFz4HRZU,"chicken,wrap,healthy,dinner,protein"
60,Chicken Biriyani (Heart-Healthy Version),chicken-biriyani-heart-healthy,Special,Low-fat chicken biriyani using brown rice for fiber and heart health.,,20 min,35-40 min,Father – 1 cup rice + 100g chicken; Mother – 1 cup rice + 125g chicken; Daughter – 1 cup rice + 125g chicken; Son – 1.5 cups rice + 150g chicken,"500g chicken (skin removed)||1½ cups brown rice (washed, soaked 30 min)||2 onions (thinly sliced)||2 tomatoes (chopped)||3 green chilies (slit)||1 tbsp ginger garlic paste||½ cup curd||1 tbsp biriyani masala||½ tsp turmeric||1 tsp chili powder||Cinnamon, cloves, bay leaf, cardamom||Mint & coriander leaves||1 tbsp oil (max)||Salt to taste","1. Heat 1 tbsp oil; sauté whole spices + onions until golden.||2. Add ginger-garlic paste, chilies, tomatoes; cook till soft.||3. Add chicken + spices + curd; cook covered 10-12 min.||4. Par-cook brown rice (70% done).||5. Layer chicken, mint/coriander, rice.||6. Sprinkle biriyani masala + little warm water.||7. Dum cook 15-20 min on low flame.",Use brown rice instead of white for fiber. Reduce oil drastically (1 tbsp). No ghee – keeps it heart-friendly.,High protein and fiber for stable energy. Reduced fat for cholesterol control.,https://youtu.be/qMIOqMtjZ4k,"chicken,biriyani,heart-healthy,dinner,fiber"
61,Pomfret Banana Leaf Steamed Fry,pomfret-banana-leaf-steamed-fry,Special,Steamed pomfret marinated with spices and wrapped in banana leaf.,,10 min,20 min,Father – 1/2 fish; Mother – 1/2 fish; Daughter – 1/2 fish; Son – 3/4 fish,2 whole pomfrets (cleaned)||1 tsp turmeric||1-2 tsp red chili powder||1 tsp ginger-garlic paste||Salt to taste||Banana leaves for wrapping,"1. Score pomfret; marinate with turmeric, chili powder, ginger-garlic paste, and salt.||2. Wrap tightly in banana leaf.||3. Steam 15-18 min or pan-toast on low flame until cooked.",Zero frying retains nutrients. Ideal for cholesterol control and digestion.,"Pomfret is high in protein, selenium, and B vitamins. Steaming keeps it moist and light. Special meal - zero oil, heart-friendly.",https://youtu.be/PWL-LwlOmd0,"pomfret,steamed,healthy,seafood,lowfat"
62,Sardine Banana Leaf Steamed Fry (Special Version),sardine-banana-leaf-steamed-fry,Special,Oil-free steamed sardines wrapped in banana leaf with spices.,,5 min,10 min,Father – 2 sardines; Mother – 2 sardines; Daughter – 2 sardines; Son – 3 sardines,7-8 sardines (cleaned)||1 tsp turmeric||1-2 tsp red chili powder (adjust taste)||Salt to taste||Banana leaves for wrapping,"1. Pat sardines dry; rub turmeric, chili powder, salt paste.||2. Wrap each sardine in banana leaf.||3. Steam or pan-cook on low heat 5-6 min each side.","Fully oil-free, perfect for heart health.",Sardines rich in omega-3 for heart and brain health. High protein; easy to digest. Oil-free steaming enhances flavor naturally.,https://youtu.be/q0xWGRfIBtU,"sardine,steamed,oilfree,seafood,hearthealthy"
63,Chicken Roast,chicken-roast,Special,"Dry roasted chicken with aromatic spices, minimal oil.",,10 min,40 min,Father – 100g chicken; Mother – 125g; Daughter – 125g; Son – 150g,500g chicken pieces||2 tbsp oil||1 tbsp ginger-garlic paste||1 large onion (sliced)||2 green chilies (slit)||1 tsp turmeric powder||1 tbsp red chili powder||1 tbsp coriander powder||1 tsp garam masala||Salt to taste||Curry leaves,"1. Heat oil; sauté onions until golden brown.||2. Add ginger-garlic paste and chilies; sauté 2 min.||3. Add turmeric, chili powder, coriander, salt; mix well.||4. Add chicken and curry leaves; stir to coat.||5. Cook covered 30 min, stirring occasionally.||6. Sprinkle garam masala; cook 5 min uncovered.||7. Serve hot.",Minimal oil and reduced chili powder for heart-friendly option.,Rich in protein and anti-inflammatory spices.,https://youtu.be/x6AZ0hAwars,"chicken,roast,dinner,protein,spices"
64,Chicken Stuffed Uttapam,chicken-stuffed-uttapam,Special,"Thick dosa topped with spiced shredded chicken, served with coconut chutney.",,15 min,25 min,Father – 1 uttapam (75g chicken); Mother – 1 uttapam (75g); Daughter – 1 uttapam (75g); Son – 2 uttapams (100g chicken),6 chicken drumsticks||2 cups ready-made dosa batter||1.5 tbsp ginger-garlic paste||Salt to taste||Crushed black peppercorns||0.5 tsp turmeric powder||1.5 tsp red chili powder||2 tsp oil||Ghee (sparingly) or heart-healthy oil||1 tsp mustard seeds||Pinch asafoetida||0.25 cup chopped curry leaves||Butter (optional)||Coconut chutney,"1. Marinate chicken with ginger-garlic, salt, pepper, turmeric, chili powder.||2. Heat oil; sauté mustard seeds, asafoetida, curry leaves; add cooked shredded chicken.||3. Cook dosa batter thick for uttapam on pan.||4. Add chicken mixture on uttapam; cook briefly.||5. Serve with coconut chutney.",Replace ghee and butter with healthy oils. Use minimal oil to cook chicken on stove.,"High protein, reduced saturated fats support heart health.",https://youtu.be/Zt6hzESFbFA,"chicken,uttapam,dinner,heart-healthy,protein"
